"gene_name","uniprot","hgnc_symbol","ensembl"
"PLCB2","Q00722","PLCB2","ENSG00000137841"
"PRY","O14603","PRY","ENSG00000169789"
"KLHL23","Q8NBE8","KLHL23","ENSG00000213160"
"RAB26","Q9ULW5","RAB26","ENSG00000167964"
"NYAP1","Q6ZVC0","NYAP1","ENSG00000166924"
"LAIR2","Q6ISS4","LAIR2","ENSG00000274084"
"LRRC14B","A6NHZ5","LRRC14B","ENSG00000185028"
"USP37","Q86T82","USP37","ENSG00000135913"
"DEFB129","Q9H1M3","DEFB129","ENSG00000125903"
"PHOSPHO2","Q8TCD6","PHOSPHO2","ENSG00000144362"
"TLR1","Q15399","TLR1","ENSG00000174125"
"PHLDA2","Q53GA4","PHLDA2","ENSG00000274538"
"THAP3","Q8WTV1","THAP3","ENSG00000041988"
"NCR1","O76036","NCR1","ENSG00000275156"
"OR5T2","Q8NGG2","OR5T2","ENSG00000262851"
"OR5T3","Q8NGG3","OR5T3","ENSG00000261897"
"KRTAP9-3","Q9BYQ3","KRTAP9-3","ENSG00000262749"
"KRTAP9-2","Q9BYQ4","KRTAP9-2","ENSG00000263090"
"KRTAP29-1","A8MX34","KRTAP29-1","ENSG00000262542"
"DEFB132","Q7Z7B7","DEFB132","ENSG00000186458"
"CDK6","Q00534","CDK6","ENSG00000105810"
"TLR6","Q9Y2C9","TLR6","ENSG00000174130"
"KIR3DX1","Q9H7L2","KIR3DX1","ENSG00000276848"
"NOC3L","Q8WTT2","NOC3L","ENSG00000173145"
"MBD3L3","A6NE82","MBD3L3","ENSG00000182315"
"ZC3HAV1L","Q96H79","ZC3HAV1L","ENSG00000146858"
"UBR7","Q8N806","UBR7","ENSG00000012963"
"CTSA","P10619","CTSA","ENSG00000064601"
"TAGLN","Q01995","TAGLN","ENSG00000149591"
"OR52B2","Q96RD2","OR52B2","ENSG00000255307"
"PGF","P49763","PGF","ENSG00000119630"
"OR56B4","Q8NH76","OR56B4","ENSG00000180919"
"JAM3","Q9BX67","JAM3","ENSG00000166086"
"OR52W1","Q6IF63","OR52W1","ENSG00000175485"
"RASGEF1C","Q8N431","RASGEF1C","ENSG00000146090"
"DYNLT1","P63172","DYNLT1","ENSG00000146425"
"TMEM230","Q96A57","TMEM230","ENSG00000089063"
"TMEM251","Q8N6I4","TMEM251","ENSG00000153485"
"MMS19","Q96T76","MMS19","ENSG00000155229"
"PAPSS1","O43252","PAPSS1","ENSG00000138801"
"DDB2","Q92466","DDB2","ENSG00000134574"
"RNF146","Q9NTX7","RNF146","ENSG00000118518"
"GON7","Q9BXV9","GON7","ENSG00000170270"
"GRAMD2A","Q8IUY3","GRAMD2A","ENSG00000175318"
"KRTAP27-1","Q3LI81","KRTAP27-1","ENSG00000206107"
"BTBD7","Q9P203","BTBD7","ENSG00000277222"
"KRTAP23-1","A1A580","KRTAP23-1","ENSG00000186980"
"KRTAP13-2","Q52LG2","KRTAP13-2","ENSG00000182816"
"PENK","P01210","PENK","ENSG00000181195"
"C1QL2","Q7Z5L3","C1QL2","ENSG00000144119"
"KRTAP13-1","Q8IUC0","KRTAP13-1","ENSG00000198390"
"CABLES2","Q9BTV7","CABLES2","ENSG00000149679"
"SPDYE6","P0CI01","SPDYE6","ENSG00000260097"
"CERS4","Q9HA82","CERS4","ENSG00000090661"
"RAD23A","P54725","RAD23A","ENSG00000179262"
"KRTAP13-3","Q3SY46","KRTAP13-3","ENSG00000240432"
"KRTAP13-4","Q3LI77","KRTAP13-4","ENSG00000186971"
"CFB","P00751","CFB","ENSG00000243570"
"TC2N","Q8N9U0","TC2N","ENSG00000276776"
"RFK","Q969G6","RFK","ENSG00000135002"
"CCDC127","Q96BQ5","CCDC127","ENSG00000164366"
"CT47A5","Q5JQC4","CT47A5","ENSG00000237957"
"KRTAP15-1","Q3LI76","KRTAP15-1","ENSG00000186970"
"KRTAP19-1","Q8IUB9","KRTAP19-1","ENSG00000184351"
"FCAR","P24071","FCAR","ENSG00000276985"
"KRTAP19-2","Q3LHN2","KRTAP19-2","ENSG00000186965"
"GADD45GIP1","Q8TAE8","GADD45GIP1","ENSG00000179271"
"KRTAP19-3","Q7Z4W3","KRTAP19-3","ENSG00000244025"
"KRTAP9-7","A8MTY7","KRTAP9-7","ENSG00000262221"
"HOXA10","P31260","HOXA10","ENSG00000253293"
"KRTAP19-4","Q3LI73","KRTAP19-4","ENSG00000186967"
"SAMD9","Q5K651","SAMD9","ENSG00000205413"
"UBR4","Q5T4S7","UBR4","ENSG00000127481"
"SVIL","O95425","SVIL","ENSG00000197321"
"KRTAP19-5","Q3LI72","KRTAP19-5","ENSG00000186977"
"VIL1","P09327","VIL1","ENSG00000127831"
"GABRA3","P34903","GABRA3","ENSG00000011677"
"ORC2","Q13416","ORC2","ENSG00000115942"
"PDGFA","P04085","PDGFA","ENSG00000197461"
"DQX1","Q8TE96","DQX1","ENSG00000144045"
"NFRKB","Q6P4R8","NFRKB","ENSG00000170322"
"OR5T1","Q8NG75","OR5T1","ENSG00000262784"
"SYTL3","Q4VX76","SYTL3","ENSG00000164674"
"OR8H1","Q8NGG4","OR8H1","ENSG00000262611"
"CHL1","O00533","CHL1","ENSG00000134121"
"CT47A4","Q5JQC4","CT47A4","ENSG00000230594"
"CATSPERB","Q9H7T0","CATSPERB","ENSG00000274338"
"NDUFB3","O43676","NDUFB3","ENSG00000119013"
"RETN","Q9HD89","RETN","ENSG00000104918"
"MYO9B","Q13459","MYO9B","ENSG00000099331"
"SSBP1","Q04837","SSBP1","ENSG00000262771"
"CDH6","P55285","CDH6","ENSG00000113361"
"CCL13","Q99616","CCL13","ENSG00000181374"
"KRTAP19-6","Q3LI70","KRTAP19-6","ENSG00000186925"
"FBH1","Q8NFZ0","FBH1","ENSG00000134452"
"KRTAP19-7","Q3SYF9","KRTAP19-7","ENSG00000244362"
"KRTAP22-2","Q3LI68","KRTAP22-2","ENSG00000206106"
"KRTAP6-3","Q3LI67","KRTAP6-3","ENSG00000212938"
"HOXA9","P31269","HOXA9","ENSG00000078399"
"KRTAP6-2","Q3LI66","KRTAP6-2","ENSG00000186930"
"PRKRIP1","Q9H875","PRKRIP1","ENSG00000128563"
"KRTAP22-1","Q3MIV0","KRTAP22-1","ENSG00000186924"
"EXOSC7","Q15024","EXOSC7","ENSG00000075914"
"KRTAP6-1","Q3LI64","KRTAP6-1","ENSG00000184724"
"KRTAP20-1","Q3LI63","KRTAP20-1","ENSG00000244624"
"FAM114A1","Q8IWE2","FAM114A1","ENSG00000197712"
"WEE2","P0C1S8","WEE2","ENSG00000263042"
"AMBN","Q9NP70","AMBN","ENSG00000178522"
"PRSS21","Q9Y6M0","PRSS21","ENSG00000007038"
"SERPING1","P05155","SERPING1","ENSG00000149131"
"PURA","Q00577","PURA","ENSG00000185129"
"PLTP","P55058","PLTP","ENSG00000100979"
"MTMR14","Q8NCE2","MTMR14","ENSG00000163719"
"ZMYND11","Q15326","ZMYND11","ENSG00000015171"
"KRTAP9-6","A8MVA2","KRTAP9-6","ENSG00000263263"
"KRTAP9-9","Q9BYP9","KRTAP9-9","ENSG00000262594"
"RPSA","P08865","RPSA","ENSG00000168028"
"NDUFB11","Q9NX14","NDUFB11","ENSG00000147123"
"FAM126B","Q8IXS8","FAM126B","ENSG00000155744"
"NEURL2","Q9BR09","NEURL2","ENSG00000124257"
"CLOCK","O15516","CLOCK","ENSG00000134852"
"FAM174A","Q8TBP5","FAM174A","ENSG00000174132"
"FAM216B","Q8N7L0","FAM216B","ENSG00000179813"
