,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SDHC,0.82,0.89,0.6,0.77,0.75,0.67,0.68,0.67,0.74,0.56,0.67,0.7,0.61
SDHD,0.3,0.47,0.15,0.38,0.4,0.36,0.54,0.42,0.51,0.37,0.39,0.39,0.36
SDK1,0.03,0.02,0.08,0.03,0.09,0.06,0.04,0.06,0.05,0.19,0.05,0.06,0.13
SDK2,0.02,0.02,0.11,0.02,0.04,0.07,0.11,0.24,0.1,0.27,0.3,0.37,0.46
SDR16C5,0.04,0.03,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDR39U1,0.47,0.56,0.33,0.64,0.28,0.35,0.41,0.45,0.44,0.45,0.35,0.41,0.4
SDR42E1,0.06,0.1,0.1,0.02,0.03,0.05,0.12,0.03,0.08,0.01,0.04,0.02,0.02
SDR42E2,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.03
SDR9C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDS,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDSL,0.14,0.06,0.15,0.2,0.03,0.09,0.12,0.14,0.23,0.14,0.16,0.15,0.16
SEC11A,0.91,0.89,0.55,0.91,0.87,0.87,0.89,0.91,0.82,0.81,0.79,0.89,0.82
SEC11C,0.55,0.57,0.52,0.59,0.52,0.52,0.3,0.31,0.24,0.17,0.21,0.22,0.22
SEC13,0.9,0.92,0.62,0.88,0.75,0.74,0.76,0.7,0.74,0.48,0.61,0.66,0.56
SEC14L1,0.48,0.58,0.55,0.44,0.39,0.49,0.31,0.4,0.63,0.81,0.58,0.52,0.69
