,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
LINC00378,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00381,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00383,0.06,0.05,0.03,0.07,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00384,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00393,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00400,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00402,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LINC00408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00412,0.01,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00421,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00445,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00446,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00449,0.0,0.01,0.0,0.01,0.03,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.01
LINC00452,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00454,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00458,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00461,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00467,0.74,0.62,0.5,0.65,0.8,0.78,0.07,0.07,0.12,0.1,0.08,0.08,0.08
LINC00470,0.16,0.25,0.09,0.13,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00471,0.22,0.3,0.14,0.35,0.41,0.36,0.04,0.04,0.04,0.03,0.03,0.03,0.03
LINC00472,0.08,0.05,0.04,0.11,0.1,0.09,0.04,0.09,0.1,0.14,0.08,0.05,0.09
LINC00473,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.13,0.03,0.0,0.01,0.04,0.06
LINC00476,0.09,0.08,0.02,0.07,0.07,0.06,0.09,0.06,0.08,0.03,0.06,0.06,0.06
LINC00477,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00479,0.01,0.15,0.0,0.0,0.01,0.0,0.06,0.08,0.14,0.0,0.08,0.02,0.02
LINC00482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00483,0.01,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00484,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
LINC00485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00491,0.09,0.07,0.27,0.06,0.07,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00494,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00501,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00504,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00508,0.01,0.0,0.03,0.03,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00511,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0
LINC00513,0.05,0.02,0.02,0.05,0.01,0.03,0.04,0.01,0.06,0.01,0.03,0.02,0.02
LINC00517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00518,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00526,0.07,0.1,0.01,0.03,0.05,0.04,0.09,0.08,0.09,0.03,0.08,0.07,0.06
LINC00528,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00535,0.05,0.04,0.01,0.03,0.04,0.04,0.01,0.01,0.05,0.01,0.04,0.03,0.02
LINC00536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00539,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00543,0.03,0.01,0.01,0.02,0.03,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LINC00545,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
LINC00551,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00554,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
LINC00563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00564,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00567,0.0,0.0,0.0,0.01,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00571,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LINC00574,0.01,0.01,0.0,0.01,0.06,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.0
LINC00575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00578,0.0,0.0,0.2,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.03,0.0,0.0
LINC00582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00592,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00595,0.0,0.0,0.07,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
LINC00596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.02,0.02
LINC00598,0.02,0.04,0.03,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0,0.0
LINC00599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.01
LINC00603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00605,0.02,0.02,0.03,0.01,0.01,0.05,0.04,0.02,0.0,0.0,0.0,0.01,0.0
LINC00607,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00620,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00621,0.04,0.06,0.01,0.02,0.04,0.06,0.05,0.04,0.04,0.03,0.03,0.05,0.05
LINC00623,0.02,0.02,0.02,0.03,0.05,0.07,0.22,0.23,0.3,0.17,0.18,0.21,0.22
LINC00624,0.04,0.06,0.1,0.05,0.17,0.38,0.01,0.01,0.02,0.01,0.0,0.0,0.01
LINC00626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00629,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0,0.0
LINC00630,0.04,0.06,0.07,0.05,0.06,0.12,0.06,0.05,0.08,0.07,0.05,0.04,0.05
LINC00632,0.08,0.08,0.0,0.04,0.01,0.01,0.07,0.02,0.09,0.0,0.04,0.02,0.01
LINC00635,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00636,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0
LINC00637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00638,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00639,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00640,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00645,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00648,0.0,0.02,0.01,0.01,0.01,0.06,0.0,0.0,0.03,0.01,0.02,0.01,0.02
LINC00649,0.17,0.29,0.15,0.12,0.03,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.0
LINC00652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
LINC00654,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
LINC00656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00662,0.09,0.15,0.17,0.13,0.08,0.14,0.24,0.2,0.41,0.14,0.2,0.25,0.19
LINC00663,0.09,0.12,0.04,0.08,0.03,0.06,0.04,0.03,0.05,0.05,0.05,0.04,0.04
LINC00664,0.06,0.08,0.02,0.05,0.1,0.04,0.02,0.02,0.01,0.01,0.0,0.01,0.01
LINC00665,0.42,0.6,0.42,0.46,0.25,0.36,0.53,0.39,0.63,0.27,0.42,0.4,0.26
LINC00667,0.38,0.37,0.16,0.31,0.31,0.28,0.31,0.3,0.31,0.16,0.27,0.27,0.22
LINC00668,0.06,0.04,0.13,0.2,0.16,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.0
LINC00670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00671,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00672,0.01,0.07,0.0,0.01,0.01,0.0,0.06,0.03,0.12,0.03,0.07,0.08,0.06
LINC00676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00678,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00682,0.02,0.01,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00683,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.09,0.02,0.02,0.01,0.01
LINC00685,0.01,0.03,0.12,0.06,0.04,0.16,0.04,0.05,0.05,0.04,0.04,0.04,0.05
LINC00690,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00698,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00701,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00707,0.0,0.0,0.44,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00837,0.05,0.06,0.05,0.05,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00838,0.07,0.02,0.0,0.18,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00839,0.07,0.04,0.04,0.1,0.04,0.07,0.01,0.03,0.0,0.0,0.0,0.01,0.03
LINC00840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00842,0.02,0.01,0.0,0.01,0.01,0.01,0.13,0.25,0.07,0.08,0.08,0.06,0.14
LINC00843,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
LINC00845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00847,0.05,0.04,0.14,0.09,0.06,0.12,0.11,0.11,0.17,0.11,0.18,0.14,0.12
LINC00850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0
LINC00853,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01
LINC00854,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LINC00857,0.03,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00858,0.01,0.01,0.03,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00862,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00864,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00865,0.01,0.01,0.0,0.01,0.03,0.02,0.06,0.03,0.1,0.05,0.07,0.03,0.03
LINC00866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00867,0.01,0.01,0.02,0.03,0.08,0.08,0.01,0.01,0.02,0.0,0.01,0.01,0.01
LINC00868,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00870,0.01,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00871,0.01,0.0,0.05,0.01,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00877,0.01,0.0,0.14,0.03,0.05,0.05,0.01,0.01,0.06,0.01,0.02,0.02,0.01
LINC00879,0.06,0.03,0.02,0.1,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00882,0.29,0.17,0.16,0.17,0.19,0.19,0.18,0.13,0.14,0.06,0.06,0.05,0.04
LINC00884,0.14,0.13,0.01,0.1,0.05,0.04,0.02,0.02,0.03,0.01,0.03,0.04,0.02
LINC00885,0.01,0.01,0.03,0.01,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00886,0.03,0.01,0.0,0.04,0.02,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01
LINC00887,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.04,0.01,0.02,0.01,0.02,0.03
LINC00891,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.08,0.16,0.19,0.11,0.2,0.22
LINC00893,0.01,0.0,0.02,0.08,0.07,0.09,0.04,0.04,0.08,0.06,0.05,0.05,0.06
LINC00894,0.05,0.03,0.02,0.08,0.08,0.09,0.02,0.01,0.03,0.03,0.02,0.02,0.02
LINC00895,0.03,0.01,0.02,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
LINC00898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00900,0.04,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.04,0.01,0.03,0.03,0.03
LINC00901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00907,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00908,0.01,0.0,0.01,0.0,0.01,0.0,0.05,0.07,0.14,0.09,0.08,0.13,0.08
LINC00909,0.12,0.18,0.05,0.11,0.07,0.11,0.16,0.16,0.2,0.14,0.18,0.15,0.15
LINC00910,0.02,0.03,0.01,0.02,0.0,0.01,0.01,0.01,0.04,0.01,0.05,0.01,0.02
LINC00911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00920,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0
LINC00921,0.05,0.03,0.01,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01
LINC00922,0.0,0.0,0.09,0.0,0.0,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0
LINC00923,0.01,0.01,0.04,0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0
LINC00926,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.01,0.0,0.01
LINC00930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00937,0.4,0.39,0.59,0.32,0.17,0.33,0.06,0.13,0.03,0.06,0.05,0.08,0.08
LINC00939,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00943,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00954,0.01,0.01,0.06,0.01,0.0,0.04,0.03,0.0,0.1,0.03,0.12,0.02,0.02
LINC00957,0.01,0.0,0.02,0.01,0.01,0.01,0.02,0.01,0.0,0.03,0.02,0.02,0.02
LINC00958,0.0,0.01,0.08,0.02,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00960,0.1,0.05,0.07,0.21,0.28,0.39,0.01,0.01,0.11,0.02,0.02,0.03,0.02
LINC00964,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00987,0.0,0.0,0.0,0.02,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00992,0.02,0.02,0.01,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00996,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
