,Endo.Arterial_EC,Endo.Fenestrated_EC,Endo.Glomerular_EC,Endo.Lymphatic_EC,Endo.Venous_EC,Endothelial,Epi.Epi_Mullerian,Epi.Epi_mesonephros,Epi.Epi_wolffian,Somatic.CoelEpi_LHX9,Somatic.FetalLeydig,Somatic.Gi,Somatic.Oi,Somatic.Sertoli,Somatic.Ti,Somatic.early_sPAX8,Somatic.early_supporting,Somatic.late_sPAX8,Somatic.preGC_I
RBM45,0.07,0.09,0.11,0.1,0.06,0.09,0.11,0.16,0.14,0.09,0.11,0.1,0.06,0.05,0.07,0.08,0.11,0.07,0.07
RBM46,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
RBM47,0.0,0.0,0.01,0.0,0.0,0.03,0.41,0.46,0.77,0.12,0.24,0.03,0.01,0.01,0.01,0.08,0.13,0.1,0.07
RBM48,0.16,0.18,0.19,0.19,0.15,0.22,0.26,0.25,0.29,0.19,0.16,0.23,0.14,0.13,0.12,0.16,0.21,0.14,0.18
RBM4B,0.15,0.18,0.2,0.18,0.12,0.22,0.31,0.29,0.33,0.26,0.29,0.28,0.22,0.17,0.23,0.24,0.34,0.17,0.24
RBM5,0.42,0.44,0.33,0.47,0.27,0.44,0.36,0.42,0.49,0.33,0.53,0.39,0.31,0.46,0.32,0.34,0.45,0.3,0.34
RBM5-AS1,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.0,0.01
RBM6,0.38,0.45,0.48,0.46,0.29,0.47,0.43,0.47,0.51,0.4,0.56,0.5,0.35,0.5,0.33,0.43,0.6,0.3,0.42
RBM7,0.18,0.19,0.11,0.2,0.15,0.2,0.26,0.23,0.32,0.19,0.18,0.2,0.14,0.16,0.13,0.16,0.24,0.15,0.16
RBM8A,0.74,0.81,0.76,0.71,0.8,0.82,0.89,0.87,0.9,0.78,0.87,0.9,0.69,0.75,0.64,0.74,0.91,0.67,0.77
RBMS1,0.61,0.71,0.84,0.69,0.55,0.7,0.57,0.89,0.76,0.64,0.55,0.79,0.53,0.4,0.43,0.52,0.64,0.42,0.44
RBMS2,0.35,0.49,0.53,0.39,0.32,0.46,0.28,0.35,0.33,0.2,0.19,0.26,0.21,0.11,0.25,0.13,0.21,0.14,0.1
RBMS3,0.3,0.29,0.25,0.27,0.18,0.36,0.04,0.2,0.06,0.19,0.34,0.27,0.35,0.06,0.54,0.23,0.37,0.24,0.31
RBMS3-AS2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS3-AS3,0.02,0.02,0.02,0.02,0.03,0.03,0.0,0.01,0.01,0.02,0.01,0.02,0.03,0.0,0.02,0.04,0.05,0.04,0.04
RBMX,0.64,0.75,0.71,0.62,0.65,0.77,0.92,0.92,0.9,0.89,0.8,0.96,0.82,0.61,0.8,0.82,0.89,0.73,0.73
RBMX2,0.25,0.27,0.23,0.27,0.18,0.27,0.37,0.36,0.39,0.27,0.35,0.27,0.21,0.17,0.2,0.23,0.28,0.19,0.21
RBMXL1,0.13,0.09,0.07,0.05,0.07,0.15,0.15,0.14,0.16,0.14,0.3,0.17,0.13,0.24,0.11,0.13,0.21,0.13,0.15
RBMXL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMXL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMY1F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP1,0.89,0.92,0.79,0.95,0.92,0.95,0.98,0.95,0.62,0.84,0.99,0.89,0.91,0.81,0.72,0.9,0.95,0.93,0.97
RBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.03,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP5,0.15,0.49,0.4,0.02,0.39,0.32,0.0,0.01,0.08,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
RBP7,0.61,0.16,0.13,0.01,0.57,0.47,0.02,0.04,0.04,0.06,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.01
RBPJ,0.46,0.47,0.39,0.45,0.35,0.49,0.61,0.58,0.6,0.54,0.61,0.54,0.45,0.39,0.44,0.43,0.58,0.39,0.6
RBPJL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBPMS,0.65,0.75,0.88,0.7,0.65,0.7,0.53,0.84,0.89,0.7,0.53,0.55,0.37,0.04,0.46,0.21,0.13,0.35,0.06
RBPMS-AS1,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.04,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0
RBPMS2,0.12,0.14,0.24,0.11,0.06,0.1,0.13,0.19,0.22,0.25,0.08,0.25,0.08,0.04,0.07,0.24,0.28,0.06,0.11
RBSN,0.14,0.17,0.13,0.19,0.11,0.17,0.15,0.2,0.22,0.14,0.23,0.19,0.15,0.17,0.14,0.13,0.17,0.11,0.15
RBX1,0.78,0.78,0.84,0.78,0.77,0.76,0.87,0.85,0.86,0.86,0.91,0.81,0.72,0.67,0.72,0.76,0.9,0.72,0.75
RC3H1,0.29,0.28,0.24,0.28,0.17,0.34,0.35,0.4,0.43,0.28,0.4,0.3,0.22,0.29,0.2,0.29,0.41,0.16,0.27
RC3H2,0.34,0.33,0.37,0.37,0.17,0.29,0.41,0.36,0.41,0.29,0.31,0.37,0.18,0.24,0.16,0.23,0.35,0.16,0.2
RCAN1,0.13,0.14,0.18,0.2,0.08,0.13,0.09,0.4,0.17,0.07,0.12,0.08,0.07,0.03,0.07,0.03,0.06,0.03,0.04
RCAN2,0.15,0.12,0.43,0.02,0.02,0.08,0.04,0.1,0.14,0.01,0.04,0.07,0.02,0.0,0.02,0.01,0.02,0.01,0.02
RCAN3,0.05,0.06,0.08,0.05,0.03,0.06,0.07,0.1,0.12,0.02,0.01,0.02,0.02,0.14,0.01,0.03,0.02,0.08,0.03
RCBTB1,0.13,0.2,0.28,0.23,0.12,0.17,0.2,0.24,0.22,0.11,0.3,0.16,0.09,0.09,0.1,0.14,0.28,0.08,0.15
RCBTB2,0.24,0.42,0.34,0.23,0.3,0.39,0.36,0.48,0.33,0.31,0.27,0.46,0.38,0.11,0.31,0.4,0.48,0.33,0.27
RCC1,0.16,0.25,0.18,0.19,0.19,0.21,0.42,0.29,0.31,0.3,0.3,0.32,0.2,0.12,0.19,0.18,0.21,0.24,0.17
RCC1L,0.22,0.28,0.28,0.25,0.19,0.26,0.33,0.44,0.48,0.29,0.41,0.35,0.21,0.18,0.17,0.2,0.28,0.2,0.26
RCC2,0.34,0.38,0.35,0.29,0.21,0.34,0.43,0.36,0.38,0.3,0.37,0.4,0.18,0.28,0.18,0.24,0.4,0.13,0.25
RCCD1,0.06,0.11,0.06,0.12,0.07,0.11,0.2,0.24,0.24,0.12,0.18,0.12,0.1,0.08,0.1,0.07,0.09,0.1,0.13
RCE1,0.18,0.23,0.26,0.27,0.18,0.24,0.26,0.31,0.35,0.25,0.26,0.25,0.15,0.16,0.12,0.16,0.26,0.13,0.2
RCHY1,0.16,0.21,0.24,0.23,0.15,0.24,0.38,0.46,0.48,0.39,0.36,0.33,0.19,0.17,0.16,0.25,0.39,0.2,0.29
RCL1,0.09,0.14,0.12,0.11,0.13,0.17,0.19,0.23,0.29,0.15,0.25,0.17,0.14,0.12,0.11,0.17,0.27,0.1,0.28
RCN1,0.6,0.62,0.65,0.56,0.58,0.65,0.8,0.8,0.77,0.69,0.58,0.73,0.77,0.21,0.74,0.41,0.71,0.49,0.55
RCN2,0.62,0.62,0.62,0.62,0.5,0.62,0.97,0.94,0.89,0.73,0.71,0.85,0.73,0.46,0.64,0.84,0.87,0.74,0.77
RCN3,0.09,0.09,0.08,0.07,0.06,0.14,0.09,0.08,0.08,0.06,0.13,0.13,0.25,0.02,0.28,0.04,0.04,0.06,0.03
RCOR1,0.29,0.28,0.36,0.22,0.14,0.3,0.29,0.3,0.33,0.28,0.4,0.4,0.24,0.26,0.28,0.25,0.36,0.15,0.28
RCOR2,0.05,0.08,0.14,0.02,0.06,0.11,0.21,0.15,0.11,0.09,0.03,0.14,0.05,0.17,0.06,0.06,0.17,0.02,0.05
RCOR3,0.25,0.28,0.26,0.23,0.14,0.28,0.39,0.49,0.5,0.26,0.32,0.39,0.22,0.2,0.21,0.29,0.32,0.24,0.24
RCSD1,0.13,0.31,0.48,0.27,0.18,0.25,0.01,0.0,0.01,0.03,0.01,0.04,0.02,0.0,0.03,0.07,0.02,0.02,0.0
RCVRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RD3L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDH10,0.02,0.04,0.05,0.04,0.01,0.05,0.37,0.21,0.67,0.07,0.07,0.04,0.04,0.03,0.09,0.02,0.05,0.03,0.03
RDH10-AS1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDH11,0.31,0.33,0.39,0.39,0.25,0.35,0.42,0.51,0.65,0.28,0.51,0.32,0.25,0.31,0.26,0.26,0.39,0.22,0.33
RDH12,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDH13,0.09,0.13,0.09,0.19,0.07,0.1,0.18,0.35,0.24,0.13,0.15,0.06,0.03,0.05,0.02,0.04,0.06,0.04,0.06
RDH14,0.19,0.23,0.24,0.34,0.2,0.25,0.37,0.49,0.44,0.34,0.3,0.36,0.28,0.12,0.24,0.25,0.3,0.22,0.3
RDH16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDH5,0.01,0.0,0.01,0.0,0.0,0.01,0.03,0.09,0.35,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.02,0.01
RDH8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDM1,0.0,0.02,0.0,0.01,0.0,0.01,0.05,0.03,0.03,0.03,0.01,0.04,0.01,0.04,0.0,0.01,0.01,0.01,0.0
RDX,0.86,0.88,0.88,0.6,0.86,0.87,0.57,0.72,0.61,0.48,0.79,0.58,0.39,0.82,0.43,0.54,0.54,0.67,0.46
REC114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC8,0.11,0.19,0.2,0.11,0.07,0.15,0.74,0.57,0.47,0.79,0.16,0.4,0.07,0.18,0.03,0.15,0.23,0.17,0.21
RECK,0.21,0.39,0.23,0.39,0.17,0.26,0.12,0.24,0.13,0.16,0.2,0.22,0.18,0.13,0.18,0.14,0.2,0.12,0.16
RECQL,0.24,0.32,0.36,0.38,0.17,0.27,0.23,0.25,0.28,0.23,0.34,0.23,0.17,0.17,0.18,0.19,0.23,0.13,0.16
RECQL4,0.02,0.07,0.04,0.03,0.01,0.03,0.06,0.04,0.04,0.06,0.04,0.09,0.03,0.05,0.02,0.02,0.02,0.02,0.01
RECQL5,0.1,0.11,0.09,0.12,0.05,0.11,0.14,0.2,0.23,0.12,0.19,0.15,0.08,0.14,0.06,0.12,0.21,0.09,0.11
REELD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REEP1,0.03,0.16,0.04,0.51,0.11,0.15,0.04,0.04,0.03,0.35,0.11,0.01,0.01,0.5,0.02,0.09,0.09,0.14,0.09
REEP2,0.01,0.01,0.01,0.02,0.0,0.02,0.09,0.11,0.07,0.04,0.02,0.05,0.02,0.11,0.01,0.09,0.08,0.1,0.11
REEP3,0.44,0.47,0.66,0.63,0.28,0.39,0.24,0.37,0.37,0.21,0.46,0.25,0.18,0.18,0.18,0.22,0.29,0.17,0.22
REEP4,0.11,0.23,0.18,0.17,0.09,0.12,0.19,0.22,0.2,0.14,0.22,0.23,0.09,0.15,0.08,0.11,0.18,0.08,0.11
REEP5,0.62,0.58,0.69,0.73,0.54,0.58,0.58,0.73,0.78,0.42,0.6,0.43,0.43,0.25,0.42,0.35,0.43,0.48,0.39
REEP6,0.05,0.05,0.03,0.08,0.1,0.24,0.17,0.15,0.36,0.18,0.8,0.31,0.21,0.89,0.24,0.38,0.8,0.32,0.61
REG1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REG3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
REG3G,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.01,0.02,0.04,0.01,0.0,0.1,0.01,0.15,0.52,0.03,0.07
REG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0
REL,0.37,0.36,0.25,0.5,0.24,0.43,0.37,0.38,0.43,0.27,0.42,0.34,0.28,0.48,0.21,0.27,0.48,0.2,0.38
RELA,0.45,0.41,0.45,0.36,0.33,0.42,0.38,0.46,0.45,0.32,0.38,0.37,0.24,0.22,0.23,0.26,0.37,0.26,0.27
RELB,0.38,0.24,0.24,0.23,0.25,0.35,0.19,0.22,0.2,0.12,0.11,0.1,0.08,0.2,0.05,0.09,0.21,0.08,0.09
RELL1,0.23,0.1,0.11,0.07,0.06,0.11,0.08,0.09,0.08,0.07,0.07,0.06,0.06,0.14,0.08,0.05,0.05,0.06,0.03
RELL2,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.0,0.01,0.0,0.02,0.04,0.0,0.02
RELN,0.02,0.02,0.01,0.81,0.0,0.04,0.04,0.2,0.13,0.25,0.01,0.14,0.02,0.03,0.01,0.27,0.52,0.03,0.19
RELT,0.09,0.06,0.14,0.05,0.02,0.06,0.06,0.02,0.03,0.04,0.02,0.04,0.01,0.02,0.01,0.02,0.04,0.01,0.01
REM1,0.01,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.01,0.06,0.01,0.03,0.01,0.06,0.0,0.01,0.01,0.0
REM2,0.01,0.0,0.0,0.0,0.0,0.01,0.06,0.05,0.07,0.03,0.01,0.03,0.02,0.01,0.01,0.06,0.18,0.02,0.06
REN,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.08,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.01
RENBP,0.11,0.15,0.22,0.24,0.05,0.06,0.03,0.06,0.21,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
REP15,0.01,0.01,0.01,0.06,0.01,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
REPIN1,0.39,0.44,0.55,0.27,0.35,0.42,0.46,0.55,0.63,0.26,0.33,0.25,0.17,0.21,0.14,0.24,0.33,0.21,0.34
REPS1,0.19,0.22,0.23,0.19,0.12,0.24,0.31,0.33,0.38,0.38,0.33,0.36,0.25,0.42,0.16,0.31,0.49,0.26,0.25
REPS2,0.11,0.08,0.06,0.15,0.02,0.08,0.07,0.06,0.27,0.09,0.33,0.13,0.1,0.15,0.07,0.21,0.52,0.12,0.31
RER1,0.48,0.5,0.55,0.52,0.44,0.52,0.49,0.59,0.67,0.49,0.73,0.52,0.43,0.41,0.4,0.4,0.58,0.42,0.43
RERE,0.43,0.52,0.48,0.55,0.33,0.53,0.64,0.69,0.73,0.57,0.48,0.55,0.35,0.43,0.34,0.48,0.56,0.44,0.34
RERG,0.01,0.01,0.0,0.01,0.01,0.05,0.19,0.57,0.18,0.29,0.34,0.03,0.03,0.0,0.03,0.0,0.01,0.15,0.0
RERG-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
RESP18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REST,0.51,0.54,0.64,0.48,0.4,0.62,0.72,0.77,0.76,0.65,0.61,0.76,0.55,0.54,0.45,0.66,0.77,0.48,0.65
RET,0.03,0.0,0.0,0.09,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.01
RETN,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RETNLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
RETREG1,0.06,0.03,0.05,0.03,0.01,0.04,0.16,0.27,0.14,0.19,0.06,0.04,0.06,0.07,0.02,0.05,0.24,0.05,0.16
RETREG2,0.28,0.27,0.29,0.29,0.22,0.29,0.39,0.48,0.54,0.25,0.34,0.36,0.25,0.22,0.2,0.24,0.29,0.26,0.27
RETREG3,0.2,0.19,0.22,0.22,0.12,0.23,0.19,0.27,0.27,0.16,0.32,0.2,0.15,0.31,0.15,0.18,0.25,0.16,0.16
RETSAT,0.12,0.11,0.13,0.13,0.06,0.09,0.05,0.08,0.14,0.05,0.17,0.07,0.05,0.07,0.05,0.04,0.07,0.04,0.06
REV1,0.22,0.27,0.23,0.25,0.16,0.29,0.32,0.32,0.42,0.25,0.39,0.31,0.2,0.33,0.18,0.24,0.35,0.22,0.22
REV3L,0.28,0.36,0.21,0.43,0.25,0.37,0.35,0.36,0.41,0.3,0.38,0.37,0.27,0.34,0.23,0.41,0.62,0.23,0.42
REX1BD,0.64,0.62,0.66,0.67,0.59,0.65,0.7,0.68,0.79,0.58,0.7,0.57,0.55,0.45,0.4,0.47,0.53,0.54,0.57
REXO1,0.18,0.2,0.24,0.14,0.14,0.23,0.13,0.2,0.28,0.12,0.45,0.22,0.09,0.43,0.11,0.14,0.22,0.14,0.17
REXO2,0.45,0.44,0.45,0.79,0.45,0.52,0.5,0.6,0.73,0.47,0.75,0.48,0.49,0.48,0.41,0.35,0.61,0.32,0.69
REXO4,0.18,0.21,0.19,0.18,0.14,0.21,0.28,0.29,0.31,0.18,0.24,0.21,0.14,0.11,0.14,0.13,0.19,0.15,0.15
REXO5,0.03,0.08,0.04,0.03,0.01,0.03,0.04,0.04,0.04,0.04,0.12,0.07,0.03,0.04,0.02,0.02,0.03,0.02,0.03
RFC1,0.42,0.49,0.48,0.49,0.34,0.49,0.52,0.6,0.57,0.54,0.58,0.56,0.42,0.37,0.38,0.39,0.5,0.39,0.42
RFC2,0.14,0.26,0.24,0.22,0.15,0.2,0.35,0.32,0.35,0.3,0.22,0.33,0.19,0.13,0.16,0.18,0.24,0.17,0.17
RFC3,0.12,0.15,0.11,0.06,0.07,0.1,0.2,0.15,0.15,0.19,0.1,0.21,0.1,0.09,0.07,0.08,0.07,0.09,0.05
RFC4,0.09,0.17,0.15,0.14,0.09,0.13,0.34,0.26,0.26,0.29,0.16,0.28,0.13,0.13,0.12,0.17,0.17,0.13,0.12
RFC5,0.07,0.17,0.13,0.14,0.07,0.11,0.27,0.24,0.28,0.21,0.21,0.24,0.12,0.13,0.1,0.14,0.15,0.14,0.11
RFESD,0.02,0.03,0.03,0.05,0.03,0.03,0.05,0.06,0.05,0.03,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.02
RFFL,0.05,0.05,0.07,0.04,0.03,0.05,0.09,0.09,0.17,0.04,0.05,0.05,0.03,0.03,0.04,0.04,0.07,0.04,0.04
RFK,0.3,0.36,0.32,0.39,0.17,0.24,0.41,0.43,0.35,0.14,0.14,0.11,0.09,0.09,0.09,0.24,0.33,0.24,0.28
RFLNA,0.03,0.09,0.23,0.02,0.01,0.03,0.04,0.04,0.03,0.07,0.01,0.05,0.05,0.0,0.02,0.03,0.02,0.01,0.02
RFLNB,0.39,0.36,0.56,0.07,0.31,0.42,0.07,0.15,0.09,0.03,0.06,0.04,0.02,0.0,0.02,0.01,0.01,0.01,0.01
RFNG,0.24,0.2,0.23,0.19,0.16,0.28,0.4,0.48,0.51,0.37,0.42,0.37,0.26,0.23,0.24,0.35,0.42,0.4,0.34
RFPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
RFPL1S,0.0,0.01,0.0,0.0,0.0,0.03,0.02,0.0,0.01,0.03,0.13,0.05,0.05,0.07,0.03,0.05,0.07,0.01,0.11
RFPL2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RFPL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
RFPL3S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFPL4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFPL4AL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFPL4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFT1,0.13,0.16,0.19,0.16,0.1,0.14,0.2,0.25,0.26,0.17,0.19,0.17,0.11,0.13,0.08,0.11,0.14,0.11,0.1
RFTN1,0.42,0.25,0.27,0.16,0.16,0.23,0.03,0.4,0.05,0.11,0.07,0.07,0.05,0.0,0.01,0.02,0.02,0.02,0.01
RFTN2,0.32,0.29,0.24,0.16,0.17,0.25,0.01,0.08,0.03,0.01,0.12,0.09,0.13,0.01,0.18,0.05,0.06,0.04,0.01
RFWD3,0.06,0.12,0.08,0.09,0.04,0.08,0.11,0.12,0.13,0.12,0.11,0.12,0.05,0.08,0.04,0.08,0.12,0.05,0.07
RFX1,0.15,0.15,0.15,0.16,0.09,0.15,0.16,0.17,0.21,0.13,0.18,0.11,0.09,0.11,0.1,0.1,0.15,0.1,0.11
RFX2,0.03,0.03,0.02,0.02,0.01,0.04,0.13,0.19,0.13,0.08,0.05,0.09,0.05,0.02,0.03,0.05,0.05,0.04,0.04
RFX3,0.21,0.25,0.29,0.16,0.13,0.24,0.36,0.43,0.35,0.26,0.12,0.26,0.1,0.12,0.1,0.19,0.24,0.16,0.13
RFX3-AS1,0.01,0.01,0.01,0.01,0.0,0.02,0.02,0.03,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
RFX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX5,0.14,0.14,0.16,0.18,0.09,0.14,0.16,0.16,0.17,0.09,0.2,0.13,0.1,0.11,0.08,0.1,0.21,0.06,0.12
RFX6,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFX7,0.13,0.13,0.12,0.08,0.06,0.12,0.12,0.13,0.13,0.1,0.17,0.14,0.07,0.1,0.07,0.07,0.13,0.07,0.08
RFX8,0.02,0.03,0.08,0.01,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01
RFXANK,0.38,0.46,0.57,0.49,0.35,0.41,0.59,0.59,0.6,0.36,0.42,0.42,0.27,0.25,0.27,0.38,0.51,0.32,0.31
RFXAP,0.05,0.06,0.06,0.1,0.05,0.09,0.16,0.2,0.15,0.14,0.11,0.13,0.1,0.06,0.09,0.12,0.1,0.08,0.12
RGCC,0.43,0.62,0.41,0.01,0.59,0.63,0.06,0.04,0.03,0.01,0.15,0.01,0.01,0.01,0.0,0.02,0.03,0.03,0.01
RGL1,0.33,0.39,0.58,0.34,0.25,0.44,0.12,0.17,0.18,0.16,0.31,0.25,0.25,0.22,0.15,0.07,0.13,0.08,0.09
RGL2,0.52,0.55,0.66,0.55,0.45,0.5,0.24,0.32,0.46,0.2,0.3,0.24,0.17,0.16,0.19,0.24,0.37,0.18,0.24
RGL3,0.01,0.0,0.01,0.01,0.0,0.01,0.22,0.04,0.56,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.01
RGL4,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGMA,0.01,0.01,0.03,0.02,0.01,0.07,0.15,0.11,0.1,0.16,0.12,0.15,0.15,0.01,0.36,0.09,0.13,0.07,0.09
RGMB,0.11,0.13,0.14,0.13,0.06,0.14,0.14,0.17,0.17,0.08,0.13,0.13,0.14,0.07,0.15,0.12,0.2,0.13,0.17
RGMB-AS1,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.02
RGN,0.01,0.01,0.01,0.02,0.01,0.04,0.04,0.04,0.21,0.03,0.09,0.01,0.03,0.12,0.01,0.03,0.03,0.2,0.2
RGP1,0.19,0.16,0.19,0.17,0.09,0.17,0.25,0.2,0.31,0.2,0.21,0.15,0.09,0.18,0.08,0.15,0.26,0.14,0.2
RGPD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
