,Endo.Arterial_EC,Endo.Fenestrated_EC,Endo.Glomerular_EC,Endo.Lymphatic_EC,Endo.Venous_EC,Endothelial,Epi.Epi_Mullerian,Epi.Epi_mesonephros,Epi.Epi_wolffian,Somatic.CoelEpi_LHX9,Somatic.FetalLeydig,Somatic.Gi,Somatic.Oi,Somatic.Sertoli,Somatic.Ti,Somatic.early_sPAX8,Somatic.early_supporting,Somatic.late_sPAX8,Somatic.preGC_I
ABCF1,0.33,0.36,0.33,0.41,0.28,0.36,0.48,0.42,0.51,0.36,0.5,0.34,0.24,0.28,0.22,0.25,0.38,0.24,0.25
ABCF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2-1,0.11,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.1,0.08,0.17,0.07,0.06,0.1,0.06,0.06,0.1,0.07,0.07
ABCF3,0.17,0.22,0.19,0.2,0.15,0.22,0.22,0.31,0.35,0.19,0.32,0.23,0.17,0.21,0.16,0.21,0.27,0.19,0.23
ABCG1,0.3,0.34,0.46,0.36,0.17,0.2,0.03,0.14,0.05,0.03,0.11,0.01,0.01,0.04,0.0,0.05,0.06,0.01,0.05
ABCG2,0.11,0.21,0.1,0.03,0.2,0.19,0.0,0.0,0.0,0.01,0.08,0.02,0.05,0.04,0.07,0.01,0.01,0.01,0.01
ABCG4,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0
ABCG5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.04,0.01,0.04
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.05,0.0,0.03
ABHD1,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01
ABHD10,0.15,0.2,0.18,0.14,0.14,0.22,0.25,0.32,0.41,0.21,0.33,0.36,0.17,0.23,0.15,0.22,0.32,0.16,0.19
ABHD11,0.06,0.06,0.07,0.05,0.05,0.08,0.33,0.3,0.48,0.09,0.17,0.09,0.06,0.11,0.07,0.09,0.15,0.19,0.11
ABHD12,0.24,0.28,0.27,0.22,0.15,0.25,0.43,0.52,0.5,0.34,0.52,0.31,0.19,0.16,0.16,0.22,0.3,0.22,0.28
ABHD12B,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
ABHD13,0.16,0.17,0.19,0.19,0.11,0.17,0.2,0.3,0.29,0.17,0.21,0.19,0.11,0.1,0.1,0.17,0.23,0.11,0.18
ABHD14A,0.05,0.04,0.05,0.03,0.03,0.04,0.05,0.06,0.09,0.03,0.04,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02
ABHD14A-ACY1,0.0,0.01,0.02,0.01,0.0,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01
ABHD14B,0.33,0.33,0.34,0.41,0.35,0.33,0.42,0.56,0.66,0.23,0.36,0.21,0.27,0.12,0.24,0.17,0.24,0.3,0.23
ABHD15,0.01,0.01,0.01,0.02,0.01,0.01,0.03,0.03,0.05,0.02,0.04,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01
ABHD16A,0.19,0.22,0.3,0.22,0.15,0.22,0.35,0.36,0.34,0.26,0.2,0.22,0.15,0.11,0.14,0.22,0.37,0.17,0.21
ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,0.74,0.64,0.75,0.33,0.41,0.53,0.31,0.46,0.51,0.32,0.37,0.43,0.19,0.16,0.18,0.25,0.47,0.15,0.25
ABHD17B,0.15,0.16,0.22,0.26,0.07,0.14,0.15,0.18,0.19,0.09,0.09,0.13,0.05,0.08,0.04,0.11,0.23,0.04,0.08
ABHD17C,0.04,0.1,0.09,0.11,0.09,0.08,0.23,0.16,0.16,0.08,0.04,0.07,0.02,0.03,0.01,0.03,0.13,0.03,0.05
ABHD18,0.12,0.13,0.14,0.13,0.09,0.15,0.19,0.22,0.27,0.14,0.22,0.13,0.09,0.15,0.09,0.14,0.18,0.1,0.14
ABHD2,0.19,0.23,0.19,0.3,0.08,0.18,0.19,0.17,0.25,0.12,0.44,0.14,0.11,0.19,0.12,0.09,0.2,0.07,0.13
ABHD3,0.07,0.09,0.09,0.07,0.04,0.08,0.03,0.08,0.17,0.06,0.09,0.07,0.04,0.03,0.03,0.04,0.08,0.03,0.03
ABHD4,0.3,0.24,0.25,0.18,0.19,0.27,0.26,0.45,0.49,0.23,0.26,0.23,0.11,0.2,0.1,0.14,0.19,0.14,0.18
ABHD5,0.15,0.2,0.28,0.12,0.11,0.17,0.19,0.24,0.28,0.15,0.19,0.14,0.1,0.07,0.09,0.17,0.25,0.09,0.16
ABHD6,0.09,0.21,0.13,0.12,0.19,0.23,0.05,0.08,0.17,0.08,0.27,0.06,0.03,0.1,0.05,0.06,0.08,0.1,0.07
ABHD8,0.06,0.09,0.09,0.13,0.05,0.09,0.18,0.28,0.27,0.19,0.21,0.17,0.12,0.09,0.1,0.17,0.17,0.13,0.17
ABI1,0.43,0.4,0.46,0.44,0.29,0.4,0.39,0.45,0.48,0.28,0.37,0.32,0.25,0.22,0.24,0.26,0.38,0.23,0.25
ABI2,0.49,0.45,0.53,0.37,0.34,0.51,0.56,0.61,0.59,0.52,0.64,0.63,0.42,0.5,0.37,0.43,0.6,0.35,0.44
ABI3,0.24,0.42,0.58,0.27,0.26,0.27,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ABI3BP,0.06,0.05,0.01,0.41,0.01,0.06,0.03,0.02,0.04,0.05,0.14,0.07,0.14,0.01,0.08,0.17,0.02,0.45,0.01
ABL1,0.26,0.23,0.2,0.17,0.13,0.25,0.25,0.22,0.26,0.21,0.27,0.26,0.17,0.16,0.16,0.18,0.29,0.13,0.16
ABL2,0.25,0.25,0.21,0.14,0.11,0.21,0.14,0.2,0.23,0.09,0.19,0.11,0.07,0.14,0.07,0.06,0.12,0.07,0.08
ABLIM1,0.6,0.54,0.35,0.36,0.32,0.47,0.6,0.34,0.47,0.42,0.52,0.3,0.4,0.22,0.36,0.3,0.33,0.28,0.33
ABLIM2,0.01,0.01,0.01,0.06,0.01,0.02,0.07,0.08,0.04,0.07,0.05,0.07,0.01,0.04,0.01,0.04,0.08,0.01,0.05
ABLIM3,0.08,0.04,0.15,0.27,0.02,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
ABO,0.05,0.04,0.01,0.14,0.02,0.06,0.06,0.05,0.18,0.08,0.35,0.08,0.05,0.23,0.05,0.12,0.21,0.1,0.16
ABR,0.15,0.2,0.26,0.08,0.12,0.17,0.2,0.27,0.14,0.17,0.06,0.09,0.06,0.07,0.04,0.07,0.1,0.05,0.09
ABRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,0.6,0.46,0.61,0.14,0.35,0.47,0.58,0.45,0.65,0.73,0.46,0.31,0.22,0.79,0.16,0.43,0.66,0.58,0.42
ABRAXAS1,0.12,0.2,0.14,0.19,0.17,0.22,0.27,0.33,0.28,0.22,0.24,0.28,0.22,0.27,0.2,0.22,0.31,0.18,0.19
ABRAXAS2,0.14,0.16,0.15,0.16,0.12,0.17,0.23,0.24,0.3,0.18,0.22,0.19,0.13,0.11,0.13,0.14,0.19,0.12,0.16
ABT1,0.27,0.34,0.35,0.32,0.28,0.35,0.43,0.47,0.54,0.29,0.38,0.38,0.22,0.2,0.21,0.26,0.37,0.23,0.26
ABTB1,0.13,0.08,0.08,0.11,0.05,0.09,0.14,0.23,0.15,0.15,0.1,0.1,0.08,0.1,0.07,0.05,0.08,0.1,0.04
ABTB2,0.07,0.02,0.05,0.0,0.0,0.02,0.04,0.02,0.09,0.01,0.04,0.02,0.01,0.02,0.03,0.01,0.02,0.01,0.01
